ValoresRms,Tempo,TimeStamp,ClasseAparelho
2.775,02/07/2020 14:16:32.322,1593710192322,0
2.788,02/07/2020 14:16:32.822,1593710192822,0
2.775,02/07/2020 14:16:33.322,1593710193322,0
2.802,02/07/2020 14:16:33.822,1593710193822,0
2.812,02/07/2020 14:16:34.322,1593710194322,0
2.795,02/07/2020 14:16:34.822,1593710194822,0
2.794,02/07/2020 14:16:35.322,1593710195322,0
2.797,02/07/2020 14:16:35.822,1593710195822,0
2.788,02/07/2020 14:16:36.322,1593710196322,0
2.795,02/07/2020 14:16:36.822,1593710196822,0
2.789,02/07/2020 14:16:37.322,1593710197322,0
2.802,02/07/2020 14:16:37.822,1593710197822,0
2.821,02/07/2020 14:16:38.322,1593710198322,0
2.792,02/07/2020 14:16:38.822,1593710198822,0
2.780,02/07/2020 14:16:39.322,1593710199322,0
2.786,02/07/2020 14:16:39.822,1593710199822,0
2.817,02/07/2020 14:16:40.322,1593710200322,0
2.793,02/07/2020 14:16:40.822,1593710200822,0
2.802,02/07/2020 14:16:41.322,1593710201322,0
2.773,02/07/2020 14:16:41.822,1593710201822,0
2.784,02/07/2020 14:16:42.322,1593710202322,0
2.800,02/07/2020 14:16:42.822,1593710202822,0
2.792,02/07/2020 14:16:43.322,1593710203322,0
2.784,02/07/2020 14:16:43.822,1593710203822,0
2.782,02/07/2020 14:16:44.322,1593710204322,0
2.787,02/07/2020 14:16:44.822,1593710204822,0
2.792,02/07/2020 14:16:45.322,1593710205322,0
2.786,02/07/2020 14:16:45.822,1593710205822,0
2.795,02/07/2020 14:16:46.322,1593710206322,0
2.809,02/07/2020 14:16:46.822,1593710206822,0
2.784,02/07/2020 14:16:47.322,1593710207322,0
2.790,02/07/2020 14:16:47.822,1593710207822,0
2.794,02/07/2020 14:16:48.322,1593710208322,0
2.794,02/07/2020 14:16:48.822,1593710208822,0
2.780,02/07/2020 14:16:49.322,1593710209322,0
2.791,02/07/2020 14:16:49.822,1593710209822,0
2.793,02/07/2020 14:16:50.322,1593710210322,0
2.819,02/07/2020 14:16:50.822,1593710210822,0
2.807,02/07/2020 14:16:51.322,1593710211322,0
2.815,02/07/2020 14:16:51.822,1593710211822,0
2.803,02/07/2020 14:16:52.322,1593710212322,0
2.806,02/07/2020 14:16:52.822,1593710212822,0
2.812,02/07/2020 14:16:53.322,1593710213322,0
2.819,02/07/2020 14:16:53.822,1593710213822,0
2.856,02/07/2020 14:16:54.322,1593710214322,0
2.834,02/07/2020 14:16:54.822,1593710214822,0
2.842,02/07/2020 14:16:55.322,1593710215322,0
2.847,02/07/2020 14:16:55.822,1593710215822,0
2.817,02/07/2020 14:16:56.322,1593710216322,0
2.808,02/07/2020 14:16:56.822,1593710216822,0
2.802,02/07/2020 14:16:57.322,1593710217322,0
2.798,02/07/2020 14:16:57.822,1593710217822,0
2.793,02/07/2020 14:16:58.322,1593710218322,0
2.814,02/07/2020 14:16:58.822,1593710218822,0
2.796,02/07/2020 14:16:59.322,1593710219322,0
2.806,02/07/2020 14:16:59.822,1593710219822,0
2.802,02/07/2020 14:17:00.322,1593710220322,0
2.803,02/07/2020 14:17:00.822,1593710220822,0
2.800,02/07/2020 14:17:01.322,1593710221322,0
2.832,02/07/2020 14:17:01.822,1593710221822,0
2.812,02/07/2020 14:17:02.322,1593710222322,0
2.799,02/07/2020 14:17:02.822,1593710222822,0
2.802,02/07/2020 14:17:03.322,1593710223322,0
2.836,02/07/2020 14:17:03.822,1593710223822,0
2.806,02/07/2020 14:17:04.322,1593710224322,0
2.823,02/07/2020 14:17:04.822,1593710224822,0
2.824,02/07/2020 14:17:05.322,1593710225322,0
2.818,02/07/2020 14:17:05.822,1593710225822,0
2.827,02/07/2020 14:17:06.322,1593710226322,0
2.833,02/07/2020 14:17:06.822,1593710226822,0
2.841,02/07/2020 14:17:07.322,1593710227322,0
2.835,02/07/2020 14:17:07.822,1593710227822,0
2.840,02/07/2020 14:17:08.322,1593710228322,0
2.840,02/07/2020 14:17:08.822,1593710228822,0
2.801,02/07/2020 14:17:09.322,1593710229322,0
2.823,02/07/2020 14:17:09.822,1593710229822,0
2.788,02/07/2020 14:17:10.322,1593710230322,0
2.791,02/07/2020 14:17:10.822,1593710230822,0
2.786,02/07/2020 14:17:11.322,1593710231322,0
2.796,02/07/2020 14:17:11.822,1593710231822,0
2.799,02/07/2020 14:17:12.322,1593710232322,0
2.793,02/07/2020 14:17:12.822,1593710232822,0
