ValoresRms,TimeStamp,EPOCH,ClasseAparelho
1.811,08/07/2020 12:36:03.345,1594222563345,0
1.803,08/07/2020 12:36:03.843,1594222563843,0
1.802,08/07/2020 12:36:04.341,1594222564341,0
1.811,08/07/2020 12:36:04.839,1594222564839,0
1.789,08/07/2020 12:36:05.337,1594222565337,0
1.803,08/07/2020 12:36:05.835,1594222565835,0
1.807,08/07/2020 12:36:06.333,1594222566333,0
1.803,08/07/2020 12:36:06.831,1594222566831,0
1.796,08/07/2020 12:36:07.329,1594222567329,0
1.785,08/07/2020 12:36:07.827,1594222567827,0
1.806,08/07/2020 12:36:08.325,1594222568325,0
1.801,08/07/2020 12:36:08.823,1594222568823,0
1.807,08/07/2020 12:36:09.320,1594222569320,0
1.802,08/07/2020 12:36:09.818,1594222569818,0
1.805,08/07/2020 12:36:10.316,1594222570316,0
1.798,08/07/2020 12:36:10.814,1594222570814,0
1.788,08/07/2020 12:36:11.312,1594222571312,0
1.805,08/07/2020 12:36:11.810,1594222571810,0
1.811,08/07/2020 12:36:12.308,1594222572308,0
1.793,08/07/2020 12:36:12.806,1594222572806,0
