ValoresRms,TimeStamp,EPOCH
2.959,01/07/2020 21:31:23.622,1593649883622
2.966,01/07/2020 21:31:24.122,1593649884122
2.965,01/07/2020 21:31:24.622,1593649884622
2.940,01/07/2020 21:31:25.122,1593649885122
2.951,01/07/2020 21:31:25.622,1593649885622
2.953,01/07/2020 21:31:26.122,1593649886122
2.952,01/07/2020 21:31:26.622,1593649886622
2.952,01/07/2020 21:31:27.122,1593649887122
2.937,01/07/2020 21:31:27.622,1593649887622
2.928,01/07/2020 21:31:28.122,1593649888122
2.923,01/07/2020 21:31:28.622,1593649888622
2.938,01/07/2020 21:31:29.122,1593649889122
2.926,01/07/2020 21:31:29.622,1593649889622
2.937,01/07/2020 21:31:30.122,1593649890122
2.938,01/07/2020 21:31:30.622,1593649890622
2.939,01/07/2020 21:31:31.122,1593649891122
2.912,01/07/2020 21:31:31.622,1593649891622
2.920,01/07/2020 21:31:32.122,1593649892122
2.929,01/07/2020 21:31:32.622,1593649892622
2.916,01/07/2020 21:31:33.122,1593649893122
2.922,01/07/2020 21:31:33.622,1593649893622
2.952,01/07/2020 21:31:34.122,1593649894122
2.953,01/07/2020 21:31:34.622,1593649894622
2.958,01/07/2020 21:31:35.122,1593649895122
2.959,01/07/2020 21:31:35.622,1593649895622
2.947,01/07/2020 21:31:36.122,1593649896122
2.953,01/07/2020 21:31:36.622,1593649896622
2.970,01/07/2020 21:31:37.122,1593649897122
2.972,01/07/2020 21:31:37.622,1593649897622
2.952,01/07/2020 21:31:38.122,1593649898122
2.965,01/07/2020 21:31:38.622,1593649898622
2.961,01/07/2020 21:31:39.122,1593649899122
3.010,01/07/2020 21:31:39.622,1593649899622
2.933,01/07/2020 21:31:40.122,1593649900122
2.913,01/07/2020 21:31:40.622,1593649900622
2.921,01/07/2020 21:31:41.122,1593649901122
2.923,01/07/2020 21:31:41.622,1593649901622
2.930,01/07/2020 21:31:42.122,1593649902122
2.942,01/07/2020 21:31:42.622,1593649902622
2.958,01/07/2020 21:31:43.122,1593649903122
2.955,01/07/2020 21:31:43.622,1593649903622
2.931,01/07/2020 21:31:44.122,1593649904122
2.926,01/07/2020 21:31:44.622,1593649904622
2.930,01/07/2020 21:31:45.122,1593649905122
4.473,01/07/2020 21:31:45.622,1593649905622
4.481,01/07/2020 21:31:46.122,1593649906122
4.483,01/07/2020 21:31:46.622,1593649906622
4.509,01/07/2020 21:31:47.122,1593649907122
4.504,01/07/2020 21:31:47.622,1593649907622
4.515,01/07/2020 21:31:48.122,1593649908122
4.501,01/07/2020 21:31:48.622,1593649908622
4.491,01/07/2020 21:31:49.122,1593649909122
4.506,01/07/2020 21:31:49.622,1593649909622
4.484,01/07/2020 21:31:50.122,1593649910122
4.498,01/07/2020 21:31:50.622,1593649910622
4.497,01/07/2020 21:31:51.122,1593649911122
4.488,01/07/2020 21:31:51.622,1593649911622
4.478,01/07/2020 21:31:52.122,1593649912122
4.463,01/07/2020 21:31:52.622,1593649912622
4.447,01/07/2020 21:31:53.122,1593649913122
4.389,01/07/2020 21:31:53.622,1593649913622
2.905,01/07/2020 21:31:54.122,1593649914122
2.929,01/07/2020 21:31:54.622,1593649914622
2.913,01/07/2020 21:31:55.122,1593649915122
2.918,01/07/2020 21:31:55.622,1593649915622
2.931,01/07/2020 21:31:56.122,1593649916122
2.924,01/07/2020 21:31:56.622,1593649916622
2.917,01/07/2020 21:31:57.122,1593649917122
2.919,01/07/2020 21:31:57.622,1593649917622
2.915,01/07/2020 21:31:58.122,1593649918122
2.917,01/07/2020 21:31:58.622,1593649918622
2.921,01/07/2020 21:31:59.122,1593649919122
2.943,01/07/2020 21:31:59.622,1593649919622
2.948,01/07/2020 21:32:00.122,1593649920122
2.944,01/07/2020 21:32:00.622,1593649920622
2.956,01/07/2020 21:32:01.122,1593649921122
