ValoresRsm,TimeStamp,EPOCH
0.759,02/07/2020 14:17:37.323,1593710257323
0.760,02/07/2020 14:17:37.823,1593710257823
0.760,02/07/2020 14:17:38.323,1593710258323
0.742,02/07/2020 14:17:38.823,1593710258823
0.745,02/07/2020 14:17:39.323,1593710259323
0.744,02/07/2020 14:17:39.823,1593710259823
0.773,02/07/2020 14:17:40.323,1593710260323
0.746,02/07/2020 14:17:40.823,1593710260823
0.744,02/07/2020 14:17:41.323,1593710261323
0.748,02/07/2020 14:17:41.823,1593710261823
0.740,02/07/2020 14:17:42.323,1593710262323
0.754,02/07/2020 14:17:42.823,1593710262823
0.756,02/07/2020 14:17:43.323,1593710263323
0.763,02/07/2020 14:17:43.823,1593710263823
0.760,02/07/2020 14:17:44.323,1593710264323
0.745,02/07/2020 14:17:44.823,1593710264823
0.755,02/07/2020 14:17:45.323,1593710265323
0.702,02/07/2020 14:17:45.823,1593710265823
0.695,02/07/2020 15:03:41.832,1593713021832
0.695,02/07/2020 15:03:42.332,1593713022332
0.614,02/07/2020 15:03:42.832,1593713022832
0.637,02/07/2020 15:03:43.332,1593713023332
0.656,02/07/2020 15:03:43.832,1593713023832
0.685,02/07/2020 15:03:44.332,1593713024332
0.631,02/07/2020 15:03:44.832,1593713024832
0.643,02/07/2020 15:03:45.332,1593713025332
0.566,02/07/2020 15:03:45.832,1593713025832
0.564,02/07/2020 15:03:46.332,1593713026332
0.575,02/07/2020 15:03:46.832,1593713026832
0.623,02/07/2020 15:03:47.332,1593713027332
0.568,02/07/2020 15:03:47.832,1593713027832
0.567,02/07/2020 15:03:48.332,1593713028332
0.565,02/07/2020 15:03:48.832,1593713028832
0.572,02/07/2020 15:03:49.332,1593713029332
0.559,02/07/2020 15:03:49.832,1593713029832
0.569,02/07/2020 15:03:50.332,1593713030332
0.570,02/07/2020 15:03:50.832,1593713030832
0.564,02/07/2020 15:03:51.332,1593713031332
0.563,02/07/2020 15:03:51.832,1593713031832
0.579,02/07/2020 15:03:52.332,1593713032332
